Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Esme H Clark,898.0,905.1348199999998,906.4505199999998,961.76622,991.39762,1005.3447199999998,1015.9129799999998,0.0,0.0,0.0
Margot Clark,1284.0,1302.9419999999982,1311.3208399999987,1318.4471199999987,1350.204799999999,1458.4880799999994,1532.3396199999997,1866.0017400000002,1868.39022,2008.75096
Sadie Docherty,1782.0,1789.1979599999993,1798.7030799999995,1807.8293599999995,1826.0187799999994,1849.7133199999994,1896.9129799999996,1947.3549599999997,1914.0,1914.0
Chris Lang,219.0,224.61946000000003,229.80888000000004,239.06144000000003,0.0,0.0,0.0,0.0,0.0,0.0
Harry Mcarthur,165.0,166.83106000000006,170.02048000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Mckenzie,1381.0,1389.2713399999989,1395.650179999999,1417.839599999999,1433.902739999999,1459.2815799999994,1514.3549599999994,1530.6075199999998,1547.18432,2174.90506
David Ritchie,2043.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0
Alan Stewart,955.0,961.4402799999999,970.56656,980.6928399999999,990.0085399999997,1001.5136599999997,1078.4709999999995,1105.8498399999999,1111.65708,0.0
Chloe Helen Stewart,296.0,310.77476,328.785,338.97442000000007,359.36350000000004,0.0,0.0,0.0,0.0,0.0
Gordon Thomson,149.0,156.82936000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Young,395.0,409.77476,469.48977999999994,478.6791999999999,498.31059999999997,547.47784,0.0,0.0,0.0,0.0
