Candidate,Round 1,Round 2
Donald Finlayson Crichton,461.0,281.0
John A Maciver,246.0,281.1405
Calum Maclean,249.0,329.82315
Hazel Glenys Mansfield,39.0,46.0281
Catriona Murray,126.0,168.16860000000003
