Candidate,Round 1,Round 2
David Alexander,1915.0,1051.0
Robert Edward Ardis,346.0,361.79095
Craig Martin,1102.0,1102.0
Cecil Meiklejohn,879.0,1604.48136
Pat Reid,1011.0,1070.5544399999999
