Candidate,Round 1,Round 2
Stephen Clackson,256.0,314.8816
Sebastian Hadfield-Hyde,50.0,55.4288
Paul Rendall,76.0,113.584
Mellissa Thomson,204.0,268.31039999999996
Heather Woodbridge,443.0,258.0
