Candidate,Round 1,Round 2
Edward Grady,1003.0,1003.0
Kate Hughes,341.0,350.49107000000004
Cathy Mcewan,1129.0,941.0
Dale Nelson,446.0,448.99718
Jim Paterson,842.0,1007.17792
