Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Kevin Docherty,1378.0,944.0,944.0,944.0,944.0
Mary Gourlay,356.0,702.11906,718.4188,878.33484,1196.39273
Francis Mcintyre,343.0,352.13326,356.06768,0.0,0.0
Caroline Stephen,1313.0,1313.0,944.0,944.0,944.0
Paul Welsh,383.0,402.84122,722.3723299999999,745.19527,0.0
