Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Math Campbell-Sturgess,749.0,749.0,722.0,722.0,722.0
Howard Green,247.0,250.0912,268.54368,0.0,0.0
Paul Donald Kennedy,512.0,522.20096,525.8410000000001,701.4148399999999,1054.82588
David Kinniburgh,522.0,632.97408,633.6228,647.42124,0.0
Gemma Penfold,854.0,722.0,722.0,722.0,722.0
