Candidate,Round 1,Round 2,Round 3,Round 4
Alex Armitage,274.0,325.45295,360.29895000000005,405.0193
Stewart Douglas,46.0,169.48708000000002,197.25908,0.0
Allison Duncan,805.0,369.0,369.0,369.0
Robbie Mcgregor,217.0,326.40522,364.39522000000005,401.62016
Bryan Peterson,500.0,500.0,369.0,369.0
