Candidate,Round 1,Round 2,Round 3,Round 4
Donald Finlayson Crichton,331.0,296.0,296.0,296.0
John A Maciver,290.0,298.35346,296.0,296.0
Kenneth A Maciver,171.0,177.8731,178.52176,201.81679
Alasdair Nicholson,117.0,122.07551999999998,122.65658000000002,0.0
Catriona Stewart,273.0,282.5166,283.10678,333.06984
