Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
John Greenwell,747.0,768.9678,1085.98004,871.0,871.0
Trevor Jones,432.0,446.56811999999996,0.0,0.0,0.0
Tom Miers,534.0,598.51596,635.29084,688.29915,0.0
Donald Moffat,1133.0,871.0,871.0,871.0,871.0
Frances Renton,635.0,703.67828,753.9156399999999,804.5634200000001,1110.97777
