Candidate,Round 1,Round 2,Round 3
Derek Louden,1051.0,859.0,859.0
Veronica Morrison,364.0,368.56700000000006,0.0
Sarah Rawlings,739.0,780.6510400000001,922.02588
Alasdair Rhind,726.0,776.2370000000001,876.33308
Fiona Robertson,554.0,604.78504,668.51576
