Candidate,Round 1,Round 2
Iain Campbell,1584.0,1087.0
Brian Connolly,904.0,1089.7459199999998
Catriona Deliveli,408.0,478.90976
William Grant,1202.0,1202.0
Gordon Mcfadzean,249.0,318.0272
