Candidate,Round 1,Round 2,Round 3
Stephen Bird,1237.0,1237.0,1237.0
Steven Carleschi,908.0,986.12684,1052.86157
Jim Flynn,385.0,437.32348,480.81832
Charles Macdonald,1377.0,1048.0,1048.0
Craig Martin,1332.0,1332.0,1048.0
