Candidate,Round 1,Round 2,Round 3
Diane Docherty,1903.0,929.0,929.0
Craig Edward,1199.0,1199.0,929.0
Clare Steel,645.0,717.67844,954.79298
Sophie Traynor,531.0,1367.8256999999999,1367.8256999999999
Liam Wilson,366.0,368.5591,374.86414
