Candidate,Round 1,Round 2,Round 3,Round 4
Steven Bonnar,1460.0,1460.0,1172.0,1172.0
Bob Burrows,1568.0,1172.0,1172.0,1172.0
Hugh Gaffney,786.0,1119.366,1155.66184,1418.9611
Christine Mcconnell,519.0,535.6683,539.81076,0.0
Josh Robertson,351.0,362.36474999999996,584.28225,608.91562
