Candidate,Round 1,Round 2,Round 3,Round 4
Norman Rae Craigie,238.0,281.8971399999999,354.15436,362.63647
Andrew Drever,509.0,357.0,357.0,357.0
Jim Foubister,192.0,231.41783999999998,265.39024,269.56608
John Stanley Groundwater,201.0,229.36889999999997,0.0,0.0
Steve Sankey,284.0,301.9172,383.3827,357.0
