Candidate,Round 1,Round 2,Round 3,Round 4
Alyson Holden,135.0,138.6696,0.0,0.0
John Knapp,1250.0,833.0,833.0,833.0
Hugh Ross,735.0,759.3528,789.3536000000001,924.3832
Ronnie Scott,417.0,743.928,785.9288,0.0
Jim Todd,791.0,814.3519999999999,822.6855999999999,949.7271999999999
