Candidate,Round 1,Round 2
Bob Ellis,1340.0,983.0
Liz Grant,844.0,1151.70355
Sanjay Ramniklal Samani,107.0,114.19307
Caroline Shiers,1316.0,1316.0
Grant Wallace,322.0,333.18922
