Candidate,Round 1,Round 2,Round 3,Round 4
Linda Dorward,1166.0,1166.0,1166.0,1066.0
Ivor Hyslop,1348.0,1348.0,1066.0,1066.0
Maureen Johnstone,772.0,810.3287,1058.8464199999999,1078.3997
Tracey Little,1787.0,1066.0,1066.0,1066.0
Sandy Rogerson,253.0,733.92432,740.6184,776.29456
