Candidate,Round 1,Round 2,Round 3
Alison Andrews,234.0,293.36483,363.58863
Dawn Barrowman,283.0,355.67533,389.54533000000004
Chris Beattie,1341.0,984.0,984.0
Jill Brown Scott,804.0,913.94473,1020.0707300000001
Gavin Nicol,1271.0,1271.0,984.0
