Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
John Murray Caldwell,1052.0,985.0,985.0,985.0,985.0
Stuart Mcdonald Currie,1036.0,1036.0,985.0,985.0,985.0
Judith Dunn,718.0,734.30208,747.83758,811.2535,0.0
Andy Forrest,891.0,906.72896,916.86828,952.42274,1664.69488
Fred Lawson,240.0,251.33504,255.96172,0.0,0.0
