Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
John Charteris,629.0,675.86754,685.59124,700.2643000000002,0.0
Yen Hongmei Jin,1190.0,837.0,837.0,837.0,837.0
Ivor Hyslop,663.0,703.04505,710.5461899999999,723.7035700000001,1266.35927
Jeff Leaver,1159.0,1159.0,837.0,837.0,837.0
Ted Thompson,539.0,660.02504,941.7345200000001,837.0,837.0
