Candidate,Round 1,Round 2
Stuart Borrowman,2541.0,1121.0
Jim Dixon,788.0,1283.12338
Isabel Hutton,861.0,1217.5335399999997
Marion Kerr,125.0,246.82494000000003
Dean Williamson,168.0,229.47130000000004
