Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Chris Birt,988.0,1092.55774,1092.55774,1083.0,1083.0
Biz Campbell,1552.0,1083.0,1083.0,1083.0,1083.0
Margot Kerr,700.0,882.5227600000001,956.55056,960.82402,0.0
Liz Kraft,1234.0,1234.0,1083.0,1083.0,1083.0
Patrick Logue,937.0,1029.16795,1032.10459,1032.3818099999999,1479.23906
