Candidate,Round 1,Round 2,Round 3
Ian Blake,1005.0,1014.2364399999999,1020.15138
Kim Lowe,1267.0,1018.0,1018.0
Matthew Pumphrey,256.0,375.09112,390.244
Davie Stitt,1053.0,1053.0,1018.0
Robin Wishart,489.0,493.913,496.33878999999996
