Candidate,Round 1,Round 2
Lynsay Anne Cunningham,76.0,81.68204
Cecil Hughson,185.0,210.56918000000002
Alec George Priest,327.0,375.0788
Duncan Simpson,453.0,354.0
Ryan James Andrew Thomson,372.0,372.0
