Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Craig Fotheringham,2901.0,1338.0,1338.0,1338.0,1338.0
Sheila Hands,1727.0,1727.0,1338.0,1338.0,1338.0
Ben Lawrie,794.0,1476.62159,1476.62159,1338.0,1338.0
Ray Strachan,643.0,862.81816,878.3597199999999,948.4545899999999,0.0
Beth Whiteside,620.0,659.86898,1004.93666,1021.37973,1254.18686
