Candidate,Round 1,Round 2,Round 3
Janet Cadenhead,794.0,794.0,649.0
Kenneth Earle,497.0,603.73345,731.37784
Ellen Forson,696.0,696.0,696.0
Craig Holden,1042.0,649.0,649.0
Alan Jamieson,212.0,260.65235,263.3915
