Candidate,Round 1,Round 2
David Jardine,229.0,269.69241
Douglas Mcallister,1903.0,970.0
Lawrence O'Neill,272.0,1020.64229
Gordon Scanlan,986.0,986.0
Marina Scanlan,486.0,524.2410600000001
