Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
William Keith Barclay,99.0,177.98304000000002,178.36540000000002,0.0,0.0
Tracy Colyer,650.0,673.7798399999998,693.6155399999999,732.6173799999999,955.35154
Theresa Coull,1493.0,859.0,859.0,859.0,859.0
Donald Gatt,849.0,884.2451199999999,859.0,859.0,859.0
Leslie Tarr,341.0,589.4144,591.75938,674.2090000000001,0.0
