Candidate,Round 1,Round 2,Round 3
Robert Burgess,535.0,579.38748,583.6502
Paul Kelly,1156.0,1156.0,980.0
Kenny Martin,95.0,152.1324,156.39512
Michael Ross,874.0,949.37082,1098.8705
Annette Valentine,1256.0,980.0,980.0
