Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Douglas Campbell,1361.0,1361.0,872.0,872.0,872.0
Ian Cavana,1481.0,872.0,872.0,872.0,872.0
John Hampton,692.0,715.0272,744.84827,762.92353,975.40714
Rita Miller,519.0,1003.3936000000001,1003.3936000000001,872.0,872.0
Tom Slider,305.0,332.9616,724.9469899999999,751.64787,0.0
