Candidate,Round 1,Round 2,Round 3
Jim Fletcher,1935.0,1362.0,1362.0
Alex Mackie,620.0,747.3315999999999,0.0
Hugh Moore,645.0,751.3070799999999,993.94836
Gordon Wallace,1163.0,1207.4179999999997,1397.73864
Vincent Waters,1083.0,1208.851,1374.5018
