Candidate,Round 1,Round 2
Robert Christopher Aldridge,3176.0,2369.0
Claire Bridgman,2541.0,2541.0
Mark Brown,2084.0,2411.2679200000002
Karen Ann Keil,1262.0,1483.31239
Phyl Meyer,411.0,521.02097
