Candidate,Round 1,Round 2
Celine Handibode,1632.0,1632.0
Gavin Wylie Keatt,1688.0,1688.0
Lynne Nailon,960.0,967.64576
John Ross,1921.0,1462.0
Helen Toner,1105.0,1525.99466
