Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
Ken Andrew,1424.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0
Charles Baillie,12.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Craig,49.0,51.625,56.1875,57.375,65.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frances Curran,82.0,86.3125,86.6875,86.875,87.875,89.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Carmichael Elder,237.0,244.6875,245.6875,248.875,252.875,255.25,259.8125,0.0,0.0,0.0,0.0,0.0,0.0
Iain Firth,13.0,14.6875,15.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Wallace Inglis,378.0,380.8125,383.8125,386.0,394.0,413.375,415.5625,464.5,465.56898,541.11783,0.0,0.0,0.0
Murdo Macleod,43.0,44.5,44.5,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Mcelroy,1001.0,1015.8125,1018.0,1019.0,1023.375,1030.9375,1041.0625,1068.8125,1071.61893,1129.87482,1211.5095900000001,1157.0,1157.0
Pauline Ann Mckeever,702.0,709.125,710.125,711.125,712.125,712.125,720.3125,741.875,746.55594,799.3456900000001,835.7447800000001,880.5103200000001,1019.91961
Ruth Simpson,335.0,340.625,340.625,340.625,343.625,355.1875,356.75,386.6875,391.48284,0.0,0.0,0.0,0.0
Mark Smith,488.0,676.625,676.625,678.375,682.3125,683.6875,690.5625,711.8125,720.0478700000001,780.2170500000001,826.61159,827.9081,0.0
Martha Wardrop,1019.0,1037.9375,1037.9375,1039.9375,1049.125,1055.125,1099.6875,1185.5625,1157.0,1157.0,1157.0,1157.0,1157.0
