Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Jim Adams,556.0,575.0364999999995,583.4249999999995,587.5026999999995,587.7702599999998,607.3141599999999,626.8580599999999,722.51648,771.99955,797.77655,0.0,0.0
Patricia Chalmers,1792.0,1801.7902000000004,1811.8679000000002,1821.9456000000005,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0
Elaine Cooper,471.0,490.58039999999966,495.0465999999996,501.43509999999964,501.6271799999997,521.2487799999998,533.8736399999998,585.7416999999998,740.1969999999999,829.83196,1038.31774,0.0
Drew Dickie,175.0,176.86479999999997,178.02019999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Docherty,1277.0,1288.1111000000012,1294.1888000000013,1300.1888000000013,1303.2328700000007,1316.3105700000008,1377.4855300000002,1411.9068800000002,1486.72984,1526.9729700000003,1627.76738,1795.4466499999999
Jennifer Dunn,1969.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0
Stuart Grieve,460.0,474.29679999999956,480.60759999999954,491.99609999999956,492.1698799999998,495.4029799999998,511.55837999999983,531.2581799999999,0.0,0.0,0.0,0.0
David Johnston,137.0,140.72959999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Kerr,270.0,273.18569999999994,316.0403999999999,319.1180999999999,319.1935799999999,328.27127999999993,0.0,0.0,0.0,0.0,0.0,0.0
Elaine Mcdougall,1039.0,1046.3038000000004,1049.3038000000004,1057.3815000000004,1058.18695,1067.26791,1101.51731,1134.1459300000001,1191.20167,1243.67765,1314.83147,1438.81692
William Mclachlan,226.0,229.6518999999999,231.8849999999999,256.9626999999999,256.96921999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel O'Donnell,323.0,334.0333999999997,336.4995999999997,341.5772999999997,341.68386999999984,351.9169699999999,372.3054699999999,0.0,0.0,0.0,0.0,0.0
Randle Wilson,383.0,387.1180999999999,400.3511999999999,460.6619999999999,460.73822999999993,539.0490299999999,561.3598299999999,566.5217499999999,626.2409299999999,0.0,0.0,0.0
