Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
John Anderson,974.0,977.0,979.0,979.0789999999998,995.0837400000001,1017.0853200000001,1041.0869,1041.08848,1161.0995400000002,0.0,0.0,0.0,0.0
Martin Bartos,1388.0,1388.0,1392.0,1392.24332,1395.24332,1409.2480600000001,1418.25122,1478.2606999999996,1662.2780799999998,1946.28914,1887.0,1887.0,1887.0
Nicholas Alexander Black,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aileen Colleran,1884.0,1885.0,1890.0,1887.0,1887.0,1887.0,1887.0,1887.0,1887.0,1887.0,1887.0,1887.0,1887.0
Feargal Dalton,1757.0,1757.0,1758.0,1758.1753800000004,1759.1785400000003,1760.17854,1767.1817000000003,1776.1817000000003,1813.1864400000002,1913.1927600000004,1913.1927600000001,1887.0,1887.0
Catherine Findlay,41.0,59.0,60.0,60.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Findlay,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Gray,112.0,112.0,113.0,113.03634,113.03792,113.03792,114.03792,0.0,0.0,0.0,0.0,0.0,0.0
Stuart James Maskell,64.0,65.0,65.0,65.02053999999998,77.02212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Mclean,1403.0,1403.0,1403.0,1403.1027000000015,1405.1058600000015,1410.1058600000015,1421.1058600000013,1434.1090200000008,1479.1137600000004,1538.1216600000002,1553.35202,1574.72291,1813.49227
James Paris,523.0,525.0,526.0,526.09322,532.0948,534.09638,540.0963799999998,540.1011199999998,0.0,0.0,0.0,0.0,0.0
Michael Graeme Shanks,1144.0,1144.0,1147.0,1149.0018599999994,1153.0065999999997,1156.0160799999994,1167.0192399999999,1190.03188,1258.07138,1380.09982,1394.08468,1394.8520800000001,0.0
Donald Williamson,91.0,91.0,91.0,91.01895999999999,95.01895999999999,102.01896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
