Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
Bonnie Prince Bob,117.0,119.35439999999993,119.35439999999994,119.41979999999994,120.61599999999997,124.81219999999998,152.87759999999997,153.21757999999997,182.09545999999995,0.0,0.0,0.0,0.0
Pete Carson,21.0,22.111800000000006,23.111800000000006,24.242600000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Foxall,1341.0,1395.5435999999972,1395.543599999998,1397.9359999999986,1402.066799999999,1414.524599999999,1421.7207999999996,1423.16674,1448.88188,1475.60508,1494.8959399999999,1551.0559600000001,0.0
Margaret Arma Graham,1297.0,1314.5925999999997,1317.5925999999997,1317.6579999999997,1318.7233999999996,1325.9196,1332.9196,1335.8811900000005,1348.2805099999998,1384.6628699999999,1471.3653599999998,1569.81713,2349.91284
Kevin Illingworth,50.0,51.961999999999996,52.092799999999976,52.485199999999985,57.81219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finlay Mcfarlane,1182.0,1183.1118,1185.1118,1187.1118,1190.1771999999999,1191.2426,1203.2426,1205.5210800000002,1209.52108,1236.6210800000001,2120.09044,1772.0,1772.0
Claire Miller,1755.0,1760.166599999999,1760.1665999999993,1761.1665999999993,1765.1665999999993,1770.2973999999995,1784.3627999999997,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0
Jo Mowat,1896.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0
Marianne Mwiki,984.0,984.7193999999998,986.7193999999998,986.7193999999998,987.7193999999998,989.7193999999998,1003.7847999999999,1008.2015600000001,1011.2015600000001,1033.27768,0.0,0.0,0.0
Maria Pakpahan-Campbell,11.0,11.654000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul R. Penman,14.0,16.485200000000006,17.812200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norrie Rowan,84.0,89.68979999999993,89.75519999999996,96.99779999999996,99.99779999999997,113.5864,125.5864,125.66387,0.0,0.0,0.0,0.0,0.0
Kevan Shaw,105.0,105.52319999999999,107.5232,107.5232,108.5886,109.5886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
