Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
Gary Barton,71.0,74.42311999999998,76.42916000000001,76.42916000000001,81.51432,81.59948,82.66574,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Belic,672.0,681.9840999999999,688.7219600000006,690.7219600000006,692.1397400000008,699.1397400000005,701.4912600000005,718.5764200000004,721.2132000000005,740.2393000000004,756.6097200000002,779.75746,0.0
Martin Lewis Clark,9.0,9.57052,9.87314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Gillespie,120.0,123.42312000000001,124.94666000000001,125.94666000000001,127.94666000000001,127.94666000000001,135.75375999999997,138.82001999999997,184.30066,193.76558,0.0,0.0,0.0
Gordon Kirker,109.0,118.98410000000001,121.03662000000001,124.03662000000001,125.03662000000001,126.40704000000001,126.40704000000001,129.40704,0.0,0.0,0.0,0.0,0.0
Yvonne Kucuk,892.0,1220.9047799999994,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0
Duncan Miller,131.0,141.83988,146.57038000000003,146.57038000000003,149.22606000000002,151.50044000000003,151.69922000000003,159.88844000000003,181.33446000000004,0.0,0.0,0.0,0.0
Thomas Rannachan,41.0,43.28207999999999,45.117799999999995,45.403059999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Redmond,1595.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0
Andy Reid,135.0,140.99045999999998,145.96798,148.25324,151.1644,162.40098,176.52394,180.8281,189.26478,208.05864,231.72954,0.0,0.0
Murdo Ritchie,43.0,45.28208000000001,48.9344,48.9344,50.000659999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Sussock,43.0,45.28208000000001,47.382839999999995,47.382839999999995,50.382839999999995,50.866879999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alison Thewliss,695.0,714.1124199999997,720.1870200000004,720.1870200000004,726.2059200000003,737.2248200000001,747.9941200000001,757.76342,762.76342,782.3398200000001,800.66288,855.5608,1449.79794
