Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
Liz Cameron,2295.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0
John Cormack,135.0,149.22650000000002,154.69406,156.65006000000002,156.74786000000003,157.74786000000003,164.08158000000006,169.17938000000004,0.0,0.0,0.0,0.0,0.0
Iain Cumming,69.0,80.38119999999999,84.02623999999997,86.37343999999997,86.65796999999998,89.65796999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graeme Andrew Hendry,1820.0,1820.0,1820.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0
Phil Jarvis,151.0,164.65744,174.03040000000004,176.96440000000007,177.76965000000004,180.05418000000006,205.02257000000003,211.16069000000005,239.17014,0.0,0.0,0.0,0.0
John Kelly,541.0,993.4026999999996,1417.0084199999997,1422.0940199999995,1427.4199899999999,1432.9648799999998,1439.36421,1459.30843,1491.95069,1512.22836,1541.3590399999998,1606.6135,1712.2917499999999
Susan Marion Mccourt,215.0,226.66572999999997,231.61256999999998,233.47076999999996,235.99148999999994,235.99148999999997,249.94288,267.89427,286.72369000000003,311.64288999999997,0.0,0.0,0.0
Mark Muir,22.0,23.99171,27.636749999999996,28.419149999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Rooney,2220.0,2220.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0,1642.0
Martin Schmierer,221.0,240.63256999999996,252.08840999999995,259.61901,263.9035400000001,273.7571300000001,279.26228000000003,303.06811000000005,309.32847000000004,350.58138999999994,400.79399,0.0,0.0
James Douglas Speirs,90.0,98.25137,103.45857,105.70797,106.80577,109.80577000000001,112.47263,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Stuart,29.0,31.56077,32.34185000000001,32.53745000000001,35.180139999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald T Wilson,400.0,430.44471,465.07258999999993,604.3397900000004,609.0561100000004,612.4384400000004,620.5943000000002,632.0193900000002,654.81794,689.08132,716.0174099999999,791.48366,0.0
