Candidate,Round 1,Round 2,Round 3
John Crews,91.0,97.43812,99.81387
Hamish Fraser,647.0,702.4668800000001,729.57838
John R Gordon,949.0,714.0,714.0
Andrew Mackintosh,157.0,164.67622,171.52397000000002
Drew Millar,641.0,704.1430999999999,726.3633499999999
Ian Renwick,830.0,830.0,714.0
Moira Elisobeth Scobbie,254.0,301.04780000000005,317.11905
