Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Erica Bradley-Young,437.0,444.0,0.0,0.0,0.0,0.0,0.0
Gary Burns,1416.0,1420.0,1440.0,1445.23296,1452.27088,1462.80386,0.0
Margaret Cooper,1629.0,1639.0,1740.0,1718.0,1718.0,1718.0,1718.0
Elise Frame,1454.0,1471.0,1632.0,1635.8299200000001,2122.8916799999997,1718.0,1718.0
Susan Kerr,1363.0,1367.0,1439.0,1444.96608,1480.1936,1619.31491,2290.62366
Colin Maclaren,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Leigh Payne,495.0,515.0,566.0,567.7063999999999,0.0,0.0,0.0
