Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Frank Anderson,1147.0,1161.7115800000004,1164.80135,1180.9838000000002,1398.6226900000006
Lis Bardell,454.0,462.29884000000004,464.46954000000005,485.86067,0.0
Jean Ann Finch,380.0,407.91428,419.31640000000004,607.3444099999999,637.28325
Carl John,1006.0,1058.43358,1061.19042,1094.05709,1304.3148900000003
Dave King,1914.0,1192.0,1192.0,1192.0,1192.0
Evelyn Stirling,372.0,386.7115800000001,389.93037999999996,0.0,0.0
Frank Toner,682.0,1237.6450600000003,1192.0,1192.0,1192.0
