Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Peter Patrick Glancy Campbell,62.0,0.0,0.0,0.0,0.0,0.0
John Crowther,405.0,413.0,418.0,419.49769000000003,0.0,0.0
Gerry Dorrian,768.0,779.0,789.0,792.0138700000002,829.2357499999999,873.6727099999999
Colin Jackson,415.0,419.0,430.0,432.12634999999995,448.32973999999996,471.54146
Innes Nelson,766.0,772.0,801.0,804.30971,1117.90139,849.0
Ciano Rebecchi,759.0,764.0,865.0,849.0,849.0,849.0
Duncan Simpson,217.0,229.0,0.0,0.0,0.0,0.0
