Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Allan Casey,1324.0,1334.0,1344.0,1370.14097,1357.0,1357.0,1357.0
Daniel Donaldson,133.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorna Finn,780.0,786.0,794.0,812.8901900000001,823.76722,841.7404500000001,0.0
Michael Kusznir,422.0,438.0,445.0,488.69549,488.74893,0.0,0.0
Kim Long,1057.0,1100.0,1107.0,1160.9992300000001,1162.2062500000002,1258.38173,1781.44976
Elaine Mcdougall,1310.0,1336.0,1677.0,1357.0,1357.0,1357.0,1357.0
Allan Stewart,398.0,405.0,0.0,0.0,0.0,0.0,0.0
