Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Rebecca Coleman-Bennett,259.0,260.0056,0.0,0.0,0.0,0.0,0.0
Stephen Curran,1704.0,1708.4246399999993,1775.75984,2043.0950400000002,1816.0,1816.0,1816.0
Josephine Docherty,1879.0,1816.0,1816.0,1816.0,1816.0,1816.0,1816.0
Charles Gay,422.0,427.32968,499.53080000000006,524.59784,568.93598,0.0,0.0
Fay Graham,371.0,372.60896,390.676,0.0,0.0,0.0,0.0
Kyle Thornton,1596.0,1596.7374399999999,1645.77096,1668.87152,1708.81157,1774.90338,2157.89519
Gavin Williamson,1032.0,1078.559279999999,1093.8274399999998,1110.6989599999997,1138.35761,1409.0154499999999,0.0
