Candidate,Round 1,Round 2,Round 3,Round 4
Mary Bain Lockhart,1257.0,1021.0,1021.0,1021.0
Scott Gilbert Campbell,497.0,532.29512,534.09467,538.79721
Linda Erskine,1033.0,1033.0,1021.0,1021.0
James Glen,263.0,289.47134,291.20122999999995,312.52052
Rosemary Liewald,990.0,1008.39852,1009.54791,1029.3917500000002
Ronnie Mackie,70.0,85.20693999999999,85.93836999999998,0.0
Lea Mclelland,994.0,1018.9694200000001,1019.7472900000002,1034.53308
