Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Scott Carle,869.0,886.1443199999999,892.1443199999999,910.9479599999997,934.2158399999998,1089.52396
Jackie Dunbar,1314.0,962.0,962.0,962.0,962.0,962.0
David Evans,79.0,84.35759999999999,85.62548,0.0,0.0,0.0
Gordon Graham,879.0,893.4655200000001,911.4655200000001,924.2691599999999,945.2691599999999,1079.2548
Paula Helen Mann,535.0,831.5431600000001,847.3468,860.48984,877.0256,0.0
George Ross,90.0,91.07152,98.07152,114.60728,0.0,0.0
Christopher Sean Willett,80.0,81.3394,0.0,0.0,0.0,0.0
