Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Ade Aibinu,2018.0,2019.5747000000001,2022.5747000000001,2148.67968,2130.0,2130.0,2130.0
Feargal Dalton,2248.0,2130.0,2130.0,2130.0,2130.0,2130.0,2130.0
Allan Faulds,1150.0,1172.6756800000003,1190.78066,1336.72548,1339.5615699999998,1937.37433,0.0
Matt Mcgrath,52.0,52.997309999999985,0.0,0.0,0.0,0.0,0.0
Maggie Mcternan,1701.0,1706.40647,1722.66892,1872.08884,1879.1469200000001,1977.2456200000001,3001.38221
Deirdre Parkinson,856.0,936.5721500000004,941.0445600000002,961.56946,962.0258400000001,0.0,0.0
James Douglas Speirs,492.0,494.25706999999994,497.3095599999999,0.0,0.0,0.0,0.0
