Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Moira Dunworth,516.0,650.9134199999999,656.78092,682.99971,768.01788,0.0,0.0
Billy Fitzpatrick,1248.0,1350.2282099999998,1356.0487699999994,1372.90614,1421.44954,1622.68739,0.0
Otto Inglis,145.0,168.41280999999998,180.66415,0.0,0.0,0.0,0.0
John Longstaff,208.0,268.27059999999994,275.64018000000004,338.42425000000003,0.0,0.0,0.0
Lindsay Paterson,2194.0,2194.0,2091.0,2091.0,2091.0,2091.0,2091.0
Alastair Gordon Shields,1329.0,1460.2044599999997,1500.4789799999999,1515.16701,1579.16482,1803.81665,2425.8172
Norman James Work,2722.0,2091.0,2091.0,2091.0,2091.0,2091.0,2091.0
