Candidate,Round 1,Round 2,Round 3,Round 4
Nigel Bagshaw,1642.0,1814.8189600000003,1865.40664,2324.73096
Gavin Barrie,1434.0,1488.6794400000006,2148.05436,2264.23632
Scott Douglas,1291.0,1311.5546800000004,1325.7542400000004,1487.3353200000001
Lesley Hinds,2751.0,2202.0,2202.0,2202.0
Tim Mckay,1143.0,1226.0169600000002,1251.6112400000002,0.0
Iain Whyte,1956.0,1988.9274000000005,2018.5260799999999,2279.49748
John Young,792.0,819.5392800000003,0.0,0.0
