Candidate,Round 1
Heather Brannan-Mcvey,1176.0
John Hendry,87.0
Denis Johnston,1187.0
Jean Jones,1113.0
Melissa Laima Juliet Kane,73.0
James King,282.0
Lindsay Sievewright,447.0
