Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Alison Andrews,129.0,152.67134000000004,0.0,0.0,0.0,0.0,0.0
Kenny Braes,762.0,765.2036400000001,776.3816200000001,794.09354,1055.3393999999998,1053.0,1053.0
Bob Myles,792.0,882.0578800000001,929.8211200000002,976.6688,987.8467800000001,988.44894,1544.29197
Gavin Nicol,1281.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0
Jill Scott,736.0,777.11338,812.3849,881.7665200000001,905.9445,906.53275,0.0
Marjory Smith,203.0,216.34849999999994,240.93376,0.0,0.0,0.0,0.0
Paul Ambrose Wright,308.0,309.95777999999996,311.49172,331.84767999999997,0.0,0.0,0.0
