Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Bill Cumming,191.0,246.83816000000007,258.38344000000006,270.2582,0.0,0.0,0.0
Kevin Ferguson,46.0,65.49904,0.0,0.0,0.0,0.0,0.0
Frank Little,82.0,115.23700000000001,124.78228,0.0,0.0,0.0,0.0
Davie Paterson,1302.0,725.0,725.0,725.0,725.0,725.0,725.0
Ron Smith,525.0,676.1175599999999,687.66284,706.42392,785.16188,725.0,725.0
Tommy Stevenson,239.0,300.1560800000001,309.4855600000001,323.91715999999997,368.88248,377.18674,0.0
George Turnbull,513.0,614.04048,616.4836399999999,641.2447199999999,657.5626400000001,686.2793300000001,779.8513800000001
