Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Douglas Canning,90.0,93.47204,96.52574,99.65928,0.0,0.0
Margaret Devine,869.0,875.0093,992.8594999999999,1013.1444799999999,1054.10806,1105.1668399999999
Eddie Grady,1229.0,1229.0,1090.0,1090.0,1090.0,1090.0
Michael Hanley,86.0,87.86956,90.13156000000001,0.0,0.0,0.0
Helen Mathie,197.0,198.86955999999998,200.22676,228.10021999999998,235.21331999999998,0.0
Cathy Mcewan,1258.0,1090.0,1090.0,1090.0,1090.0,1090.0
Garry Quigley,629.0,773.2231999999999,777.7472,788.4149,805.61676,824.418
