Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Tom Conn,1060.0,1425.0317500000006,1449.77915,1558.23275,1955.89235,1812.0,1812.0
Alan Cooper,40.0,113.40969999999999,0.0,0.0,0.0,0.0,0.0
Sue Friel,1091.0,1126.4948000000002,1128.8981500000002,1245.73835,1318.80535,1340.97397,0.0
Tom Kerr,3037.0,1812.0,1812.0,1812.0,1812.0,1812.0,1812.0
Maire Mccormack,476.0,535.2924499999999,541.1159,0.0,0.0,0.0,0.0
Sally Pattle,381.0,692.3861999999999,713.7135,871.5279,0.0,0.0,0.0
David Tait,1160.0,1215.2589500000006,1216.6623000000004,1309.6958,1390.0063499999999,1405.15587,2529.23806
