Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Michael Clift,178.0,184.81581999999997,232.73695,259.36760000000004,0.0,0.0,0.0
Eddy Coulson,301.0,308.70484,328.40207999999996,359.13379999999995,408.04619,0.0,0.0
Kate Duncan,162.0,165.85242,177.77982999999995,0.0,0.0,0.0,0.0
Jim Fullarton,1505.0,1059.0,1059.0,1059.0,1059.0,1059.0,1059.0
Carol Hamilton,979.0,1357.1298399999996,1059.0,1059.0,1059.0,1059.0,1059.0
Helen Laing,831.0,834.5560800000001,841.28454,893.09689,932.02784,1000.5270700000001,1203.22112
Danny Robertson,276.0,295.85478,351.8549699999998,397.51368,475.25417,626.54722,0.0
