Candidate,Round 1
Michael Peregrine Gallagher,283.0
Jamie Glackin,322.0
Alan Grant,1117.0
Dennis Melloy,1252.0
Ian Miller,1088.0
Louise Ramsay,148.0
Lewis Simpson,1081.0
