Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Bill Adams,28.0,64.11075,75.82209999999999,83.30233999999999,0.0,0.0,0.0
Malcolm Bell,684.0,304.0,304.0,304.0,304.0,304.0,304.0
Caroline Miller,35.0,51.11094999999999,53.25631,0.0,0.0,0.0,0.0
Danus Skene,65.0,98.33299999999997,102.47678000000002,109.328,122.78447,142.95093,0.0
Michael William Stout,207.0,350.3319000000001,304.0,304.0,304.0,304.0,304.0
Allan Wishart,147.0,230.88805000000002,236.70694999999995,258.98609,273.36626,295.78688999999997,348.84776
Alex Wright,46.0,74.33304999999999,86.42644,88.24649,105.10176,0.0,0.0
