Candidate,Round 1,Round 2
Phil Fairlie,875.0,729.0
Darren Lee,830.0,830.0
Graham John Lindsay,715.0,844.4756000000001
Mark Mcluckie,787.0,787.0
Laura Quin,99.0,100.50165
Cara Quinn,147.0,152.67289999999997
Daniel Rooney,190.0,191.6685
