Candidate,Round 1
Ed Archer,678.0
Ryan Doherty,119.0
Richard Eliott-Lockhart,1725.0
Ronald Logan,221.0
Julia Marrs,1643.0
Catherine Mcclymont,1638.0
Richard Mills,91.0
