Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
John Bell,925.0,1031.0,1062.0,1096.0,1235.2404000000001
Anthea Dickson,1057.0,1061.0,1091.0,1617.0,1184.0
Margaret Johnson,574.0,576.0,610.0,0.0,0.0
Ted Nevill,705.0,712.0,731.0,735.0,751.33397
Donald L Reid,1053.0,1074.0,1182.0,1203.0,1203.0
James Robson,156.0,0.0,0.0,0.0,0.0
James Smith,263.0,267.0,0.0,0.0,0.0
