Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Jenny Dawe,1285.0,1573.527359999999,1614.6445899999997,1639.4175399999997,1661.2874700000002,1730.3472700000002,0.0
Paul Godzik,2053.0,2171.455039999999,2171.45504,2091.0,2091.0,2091.0,2091.0
Sandy Howat,1650.0,1723.4553599999997,1754.4524999999999,1767.99725,1784.19533,1857.886,2390.43372
Phil Hunt,195.0,211.21312000000003,224.04190999999997,230.31410999999994,263.69163000000003,0.0,0.0
William David Mitchell Macadam,79.0,169.99199999999996,172.59379,174.81409000000002,0.0,0.0,0.0
Melanie Main,2064.0,2208.5945599999986,2091.0,2091.0,2091.0,2091.0,2091.0
Mark Mcinnes,3125.0,2091.0,2091.0,2091.0,2091.0,2091.0,2091.0
